"Winning.Percentage","Pk","DraftYr","MPG","salary","season","name","team","MPGcat.Winning.Percentage","MPGcat.Pk","MPGcat.DraftYr","MPGcat.MPG","MPGcat.salary","MPGcat.season","MPGcat.name","MPGcat.team","PCTCat","MPGCat"
0.549,34,1998,16.5, 871325.97,2001,"Shammond Williams","Seattle SuperSonics",0.549,34,1998,Medium, 550000,2001,Shammond Williams,Seattle SuperSonics,"Above","Medium"
0.329,55,1998,12.8, 451593.06,2001,"Ryan Bowen","Denver Nuggets",0.329,55,1998,Medium, 508000,2001,Ryan Bowen,Denver Nuggets,"Below","Low"
0.500,39,1998,28.9, 423000.00,2001,"Rafer Alston","Milwaukee Bucks",0.500,39,1998,High, 423000,2001,Rafer Alston,Milwaukee Bucks,"Below","Medium"
0.488,35,1999,12.2, 529993.50,2002,"Calvin Booth","Seattle SuperSonics",0.488,35,1999,Medium,4539000,2002,Calvin Booth,Seattle SuperSonics,"Below","Low"
0.524, 2,1999,37.6,3808271.31,2002,"Steve Francis","Houston Rockets",0.524, 2,1999,Very High,3473000,2002,Steve Francis,Houston Rockets,"Above","High"
0.573, 3,1999,34.2,4322691.26,2002,"Baron Davis","Charlotte Hornets",0.573, 3,1999,High,3119000,2002,Baron Davis,Charlotte Hornets,"Above","High"
0.732,34,1999,14.0, 350930.91,2002,"Evan Eschmeyer","Dallas Mavericks",0.732,34,1999,Medium,3038000,2002,Evan Eschmeyer,Dallas Mavericks,"Above","Low"
0.585, 5,1999,14.7, 779010.24,2002,"Jonathan Bender","Indiana Pacers",0.585, 5,1999,Medium,2546000,2002,Jonathan Bender,Indiana Pacers,"Above","Low"
0.622, 6,1999,30.8,1817103.93,2002,"Wally Szczerbiak","Minnesota Timberwolves",0.622, 6,1999,High,2313000,2002,Wally Szczerbiak,Minnesota Timberwolves,"Above","Medium"
0.451, 7,1999,32.1,3930780.84,2002,"Richard Hamilton","Washington Wizards",0.451, 7,1999,High,2111000,2002,Richard Hamilton,Washington Wizards,"Below","High"
0.207, 8,1999,30.9,1415980.53,2002,"Andre Miller","Cleveland Cavaliers",0.207, 8,1999,High,1934000,2002,Andre Miller,Cleveland Cavaliers,"Below","Medium"
0.537, 9,1999,34.5,5197272.68,2002,"Shawn Marion","Phoenix Suns",0.537, 9,1999,High,1778000,2002,Shawn Marion,Phoenix Suns,"Above","High"
0.427,10,1999,29.8, 974707.54,2002,"Jason Terry","Atlanta Hawks",0.427,10,1999,High,1689000,2002,Jason Terry,Atlanta Hawks,"Below","Medium"
0.207,11,1999,14.6, 746404.39,2002,"Trajan Langdon","Cleveland Cavaliers",0.207,11,1999,Medium,1604000,2002,Trajan Langdon,Cleveland Cavaliers,"Below","Low"
0.585,16,1999,31.7,1563812.35,2002,"Metta World Peace","Indiana Pacers",0.585,16,1999,High,1241000,2002,Metta World Peace,Indiana Pacers,"Above","Medium"
0.427,17,1999, 9.7, 559393.90,2002,"Cal Bowdler","Atlanta Hawks",0.427,17,1999,Low,1179000,2002,Cal Bowdler,Atlanta Hawks,"Below","Low"
0.207,18,1999,26.9,1670066.97,2002,"James Posey","Denver Nuggets",0.207,18,1999,High,1120000,2002,James Posey,Denver Nuggets,"Below","Medium"
0.573,19,1999,11.7, 655053.63,2002,"Quincy Lewis","Utah Jazz",0.573,19,1999,Low,1070000,2002,Quincy Lewis,Utah Jazz,"Above","Low"
0.427,20,1999,20.9,1221123.05,2002,"Dion Glover","Atlanta Hawks",0.427,20,1999,Medium,1027000,2002,Dion Glover,Atlanta Hawks,"Below","Medium"
0.585,21,1999,20.6,1846972.84,2002,"Jeff Foster","Indiana Pacers",0.585,21,1999,Medium, 986000,2002,Jeff Foster,Indiana Pacers,"Above","Medium"
0.524,22,1999,27.4, 870176.66,2002,"Kenny Thomas","Houston Rockets",0.524,22,1999,High, 946000,2002,Kenny Thomas,Houston Rockets,"Above","Medium"
0.585,25,1999, 6.1, 197708.05,2002,"Tim James","Philadelphia 76ers",0.585,25,1999,Low, 837000,2002,Tim James,Philadelphia 76ers,"Above","Low"
0.610,23,1999,18.5,1796413.26,2002,"Devean George","Los Angeles Lakers",0.610,23,1999,Medium, 834000,2002,Devean George,Los Angeles Lakers,"Above","Medium"
0.573,24,1999,30.0,1214517.36,2002,"Andrei Kirilenko","Utah Jazz",0.573,24,1999,High, 831000,2002,Andrei Kirilenko,Utah Jazz,"Above","Medium"
0.585,26,1999,19.0,1194691.06,2002,"Vonteego Cummings","Philadelphia 76ers",0.585,26,1999,Medium, 810000,2002,Vonteego Cummings,Philadelphia 76ers,"Above","Medium"
0.207,27,1999,20.8,1133555.11,2002,"Jumaine Jones","Cleveland Cavaliers",0.207,27,1999,Medium, 786000,2002,Jumaine Jones,Cleveland Cavaliers,"Below","Medium"
0.573,28,1999,12.5, 403868.14,2002,"Scott Padgett","Utah Jazz",0.573,28,1999,Medium, 781000,2002,Scott Padgett,Utah Jazz,"Above","Low"
0.598,47,1999,15.4,  33052.92,2002,"Todd MacCulloch","Brooklyn Nets",0.598,47,1999,Medium, 550000,2002,Todd MacCulloch,Brooklyn Nets,"Above","Low"
0.585,32,1999,14.4, 224708.74,2002,"Michael Ruffin","Philadelphia 76ers",0.585,32,1999,Medium, 540000,2002,Michael Ruffin,Philadelphia 76ers,"Above","Low"
0.341,53,1999,18.2,1299493.17,2002,"Rodney Buford","Memphis Grizzlies",0.341,53,1999,Medium, 540000,2002,Rodney Buford,Memphis Grizzlies,"Below","Medium"
0.573,43,1999,19.0,1956659.40,2002,"Lee Nailon","Charlotte Hornets",0.573,43,1999,Medium, 466000,2002,Lee Nailon,Charlotte Hornets,"Above","Medium"
0.573, 1,2000,30.6, 919855.51,2003,"Kenyon Martin","Brooklyn Nets",0.573, 1,2000,High,4067000,2003,Kenyon Martin,Brooklyn Nets,"Above","Medium"
0.610, 2,2000,19.8, 858861.42,2003,"Stromile Swift","Memphis Grizzlies",0.610, 2,2000,Medium,3656000,2003,Stromile Swift,Memphis Grizzlies,"Above","Medium"
0.427, 3,2000,26.3,2044560.89,2003,"Darius Miles","Cleveland Cavaliers",0.427, 3,2000,High,3267000,2003,Darius Miles,Cleveland Cavaliers,"Below","Medium"
0.280, 4,2000,20.9,2180829.49,2003,"Marcus Fizer","Chicago Bulls",0.280, 4,2000,Medium,2946000,2003,Marcus Fizer,Chicago Bulls,"Below","Medium"
0.610, 5,2000,26.9,1285702.78,2003,"Mike Miller","Memphis Grizzlies",0.610, 5,2000,High,2668000,2003,Mike Miller,Memphis Grizzlies,"Above","Medium"
0.427, 7,2000,20.1,1820754.67,2003,"Chris Mihm","Cleveland Cavaliers",0.427, 7,2000,Medium,2222000,2003,Chris Mihm,Cleveland Cavaliers,"Below","Medium"
0.280, 8,2000,29.4,2183842.81,2003,"Jamal Crawford","Chicago Bulls",0.280, 8,2000,High,2026000,2003,Jamal Crawford,Chicago Bulls,"Below","Medium"
0.500, 9,2000,19.8,1862000.00,2003,"Joel Przybilla","Milwaukee Bucks",0.500, 9,2000,Medium,1862000,2003,Joel Przybilla,Milwaukee Bucks,"Below","Medium"
0.305,12,2000,17.3,1552124.76,2003,"Etan Thomas","Washington Wizards",0.305,12,2000,Medium,1605000,2003,Etan Thomas,Washington Wizards,"Below","Medium"
0.671,14,2000,11.2, 376627.96,2003,"Mateen Cleaves","Sacramento Kings",0.671,14,2000,Low,1441000,2003,Mateen Cleaves,Sacramento Kings,"Above","Low"
0.549,15,2000,14.4, 598602.92,2003,"Jason Collier","Houston Rockets",0.549,15,2000,Medium,1376000,2003,Jason Collier,Houston Rockets,"Above","Low"
0.451,17,2000,30.5,1404322.40,2003,"Desmond Mason","Seattle SuperSonics",0.451,17,2000,High,1235000,2003,Desmond Mason,Seattle SuperSonics,"Below","Medium"
0.695,20,2000,25.6,1555676.12,2003,"Speedy Claxton","San Antonio Spurs",0.695,20,2000,High,1081000,2003,Speedy Claxton,San Antonio Spurs,"Above","Medium"
0.402,21,2000,27.2,2144636.56,2003,"Morris Peterson","Toronto Raptors",0.402,21,2000,High,1033000,2003,Morris Peterson,Toronto Raptors,"Below","Medium"
0.524,22,2000,16.2,1649283.41,2003,"Donnell Harvey","Denver Nuggets",0.524,22,2000,Medium, 992000,2003,Donnell Harvey,Denver Nuggets,"Above","Medium"
0.512,23,2000,22.3,1177810.18,2003,"DeShawn Stevenson","Utah Jazz",0.512,23,2000,Medium, 956000,2003,DeShawn Stevenson,Utah Jazz,"Above","Medium"
0.354,25,2000,15.9, 220960.95,2003,"Jake Tsakalidis","Phoenix Suns",0.354,25,2000,Medium, 877000,2003,Jake Tsakalidis,Phoenix Suns,"Below","Low"
0.683,29,2000,11.8, 792135.46,2003,"Mark Madsen","Los Angeles Lakers",0.683,29,2000,Low, 817000,2003,Mark Madsen,Los Angeles Lakers,"Above","Low"
0.354,33,2000,14.3, 342863.77,2003,"Jake Voskuhl","Phoenix Suns",0.354,33,2000,Medium, 587000,2003,Jake Voskuhl,Phoenix Suns,"Below","Low"
0.256,42,2000, 6.3, 119517.38,2003,"Olumide Oyedeji","Orlando Magic",0.256,42,2000,Low, 587000,2003,Olumide Oyedeji,Orlando Magic,"Below","Low"
0.549, 1,2001,22.1,1085574.67,2004,"Kwame Brown","Washington Wizards",0.549, 1,2001,Medium,4252000,2004,Kwame Brown,Washington Wizards,"Above","Medium"
0.549, 3,2001,33.4,2832241.88,2004,"Pau Gasol","Memphis Grizzlies",0.549, 3,2001,High,3417000,2004,Pau Gasol,Memphis Grizzlies,"Above","High"
0.549, 6,2001,30.7,1331570.57,2004,"Shane Battier","Memphis Grizzlies",0.549, 6,2001,High,2533000,2004,Shane Battier,Memphis Grizzlies,"Above","Medium"
0.512, 8,2001,14.0, 281759.04,2004,"DeSagana Diop","Cleveland Cavaliers",0.512, 8,2001,Medium,2118000,2004,DeSagana Diop,Cleveland Cavaliers,"Above","Low"
0.598, 9,2001,15.4, 756582.16,2004,"Rodney White","Denver Nuggets",0.598, 9,2001,Medium,1948000,2004,Rodney White,Denver Nuggets,"Above","Low"
0.756,10,2001,34.6,5887536.36,2004,"Joe Johnson","Phoenix Suns",0.756,10,2001,High,1850000,2004,Joe Johnson,Phoenix Suns,"Above","High"
0.512,11,2001,13.5, 769807.13,2004,"Kedrick Brown","Cleveland Cavaliers",0.512,11,2001,Medium,1757000,2004,Kedrick Brown,Cleveland Cavaliers,"Above","Low"
0.512,13,2001,29.0,1458369.11,2004,"Richard Jefferson","Brooklyn Nets",0.512,13,2001,High,1586000,2004,Richard Jefferson,Brooklyn Nets,"Above","Medium"
0.415,14,2001,27.3,1006210.45,2004,"Troy Murphy","Golden State Warriors",0.415,14,2001,High,1507000,2004,Troy Murphy,Golden State Warriors,"Below","Medium"
0.402,17,2001,11.7, 126551.86,2004,"Michael Bradley","Toronto Raptors",0.402,17,2001,Low,1292000,2004,Michael Bradley,Toronto Raptors,"Below","Low"
0.512,18,2001,20.4,1964525.67,2004,"Jason Collins","Brooklyn Nets",0.512,18,2001,Medium,1227000,2004,Jason Collins,Brooklyn Nets,"Above","Medium"
0.329,19,2001,31.0, 892101.23,2004,"Zach Randolph","Portland Trail Blazers",0.329,19,2001,High,1172000,2004,Zach Randolph,Portland Trail Blazers,"Below","Medium"
0.512,23,2001, 6.5, 721303.78,2004,"Brandon Armstrong","Brooklyn Nets",0.512,23,2001,Low, 995000,2004,Brandon Armstrong,Brooklyn Nets,"Above","Low"
0.524,26,2001,24.4, 968770.04,2004,"Samuel Dalembert","Philadelphia 76ers",0.524,26,2001,High, 887000,2004,Samuel Dalembert,Philadelphia 76ers,"Above","Medium"
0.537,27,2001,26.4,1741806.33,2004,"Jamaal Tinsley","Indiana Pacers",0.537,27,2001,High, 861000,2004,Jamaal Tinsley,Indiana Pacers,"Above","Medium"
0.720,28,2001,30.5,1492014.96,2004,"Tony Parker","San Antonio Spurs",0.720,28,2001,High, 856000,2004,Tony Parker,San Antonio Spurs,"Above","Medium"
0.610,25,2001,29.7,2057568.10,2004,"Gerald Wallace","Sacramento Kings",0.610,25,2001,High, 764000,2004,Gerald Wallace,Sacramento Kings,"Above","Medium"
0.537,30,2001,25.3,1568126.38,2004,"Trenton Hassell","Minnesota Timberwolves",0.537,30,2001,High, 587000,2004,Trenton Hassell,Minnesota Timberwolves,"Above","Medium"
0.610, 1,2003,38.2,3996100.67,2006,"LeBron James","Cleveland Cavaliers",0.610, 1,2003,Very High,4621800,2006,LeBron James,Cleveland Cavaliers,"Above","High"
0.366,42,2003,20.3, 833194.31,2006,"Zaza Pachulia","Atlanta Hawks",0.366,42,2003,Medium,4000000,2006,Zaza Pachulia,Atlanta Hawks,"Below","Medium"
0.549, 3,2003,34.7,5732595.69,2006,"Carmelo Anthony","Denver Nuggets",0.549, 3,2003,High,3713640,2006,Carmelo Anthony,Denver Nuggets,"Above","High"
0.427,51,2003,25.3,1653414.52,2006,"Kyle Korver","Philadelphia 76ers",0.427,51,2003,High,3636364,2006,Kyle Korver,Philadelphia 76ers,"Below","Medium"
0.573, 4,2003,35.8,5622965.06,2006,"Chris Bosh","Toronto Raptors",0.573, 4,2003,High,3348000,2006,Chris Bosh,Toronto Raptors,"Above","High"
0.537, 5,2003,33.9,5051832.94,2006,"Dwyane Wade","Miami Heat",0.537, 5,2003,High,3031920,2006,Dwyane Wade,Miami Heat,"Above","High"
0.598, 7,2003,30.7, 978661.66,2006,"Kirk Hinrich","Chicago Bulls",0.598, 7,2003,High,2513880,2006,Kirk Hinrich,Chicago Bulls,"Above","Medium"
0.744,49,2003,15.7, 406172.96,2006,"James Jones","Phoenix Suns",0.744,49,2003,Medium,2400000,2006,James Jones,Phoenix Suns,"Above","Low"
0.341, 8,2003,27.7,1770813.31,2006,"T.J. Ford","Milwaukee Bucks",0.341, 8,2003,High,2303040,2006,T.J. Ford,Milwaukee Bucks,"Below","Medium"
0.500,10,2003,23.2,2011080.00,2006,"Jarvis Hayes","Washington Wizards",0.500,10,2003,Medium,2011080,2006,Jarvis Hayes,Washington Wizards,"Below","Medium"
0.573,45,2003,16.9,1415768.70,2006,"Matt Bonner","Toronto Raptors",0.573,45,2003,Medium,2000000,2006,Matt Bonner,Toronto Raptors,"Above","Medium"
0.378,12,2003,20.4,1916587.39,2006,"Nick Collison","Seattle SuperSonics",0.378,12,2003,Medium,1815000,2006,Nick Collison,Seattle SuperSonics,"Below","Medium"
0.341,47,2003,29.2, 991443.32,2006,"Mo Williams","Milwaukee Bucks",0.341,47,2003,High,1760000,2006,Mo Williams,Milwaukee Bucks,"Below","Medium"
0.390,13,2003,16.0, 520426.15,2006,"Marcus Banks","Minnesota Timberwolves",0.390,13,2003,Medium,1724280,2006,Marcus Banks,Minnesota Timberwolves,"Below","Low"
0.378,14,2003,26.1,1022198.93,2006,"Luke Ridnour","Seattle SuperSonics",0.378,14,2003,High,1638000,2006,Luke Ridnour,Seattle SuperSonics,"Below","Medium"
0.341,15,2003, 8.5, 292779.96,2006,"Reece Gaines","Milwaukee Bucks",0.341,15,2003,Low,1556160,2006,Reece Gaines,Milwaukee Bucks,"Below","Low"
0.268,20,2003,15.7, 351946.72,2006,"Dahntay Jones","Memphis Grizzlies",0.268,20,2003,Medium,1223160,2006,Dahntay Jones,Memphis Grizzlies,"Below","Low"
0.744,21,2003,27.0,1067538.95,2006,"Boris Diaw","Phoenix Suns",0.744,21,2003,High,1174200,2006,Boris Diaw,Phoenix Suns,"Above","Medium"
0.512,32,2003,17.2,1405854.79,2006,"Luke Walton","Los Angeles Lakers",0.512,32,2003,Medium,1125000,2006,Luke Walton,Los Angeles Lakers,"Above","Medium"
0.537,31,2003,17.8,1113329.16,2006,"Jason Kapono","Miami Heat",0.537,31,2003,Medium,1100000,2006,Jason Kapono,Miami Heat,"Above","Medium"
0.390,23,2003,20.9,2178328.17,2006,"Travis Outlaw","Portland Trail Blazers",0.390,23,2003,Medium,1082160,2006,Travis Outlaw,Portland Trail Blazers,"Below","Medium"
0.512,24,2003,13.4, 632675.91,2006,"Brian Cook","Los Angeles Lakers",0.512,24,2003,Medium,1038960,2006,Brian Cook,Los Angeles Lakers,"Above","Low"
0.390,38,2003,23.9,1355296.39,2006,"Steve Blake","Portland Trail Blazers",0.390,38,2003,Medium,1000000,2006,Steve Blake,Portland Trail Blazers,"Below","Medium"
0.646,25,2003,22.8,2139647.79,2006,"Carlos Delfino","Detroit Pistons",0.646,25,2003,Medium, 969600,2006,Carlos Delfino,Detroit Pistons,"Above","Medium"
0.293,27,2003,21.9,1061422.73,2006,"Kendrick Perkins","Boston Celtics",0.293,27,2003,Medium, 936480,2006,Kendrick Perkins,Boston Celtics,"Below","Medium"
0.744,28,2003,21.6,1424718.31,2006,"Leandro Barbosa","Phoenix Suns",0.744,28,2003,Medium, 930600,2006,Leandro Barbosa,Phoenix Suns,"Above","Medium"
0.817,29,2003,30.3,1883123.11,2006,"Josh Howard","Dallas Mavericks",0.817,29,2003,High, 923880,2006,Josh Howard,Dallas Mavericks,"Above","Medium"
0.402,43,2003,21.6,1465578.98,2006,"Keith Bogans","Charlotte Bobcats",0.402,43,2003,Medium, 869373,2006,Keith Bogans,Charlotte Bobcats,"Below","Medium"
0.634,30,2003, 9.9, 646770.21,2006,"Maciej Lampe","Houston Rockets",0.634,30,2003,Low, 858534,2006,Maciej Lampe,Houston Rockets,"Above","Low"
0.634, 1,2004,31.9,1020016.43,2007,"Dwight Howard","Orlando Magic",0.634, 1,2004,High,4806720,2007,Dwight Howard,Orlando Magic,"Above","Medium"
0.390, 2,2004,30.9,1558322.95,2007,"Emeka Okafor","Charlotte Bobcats",0.390, 2,2004,High,4300560,2007,Emeka Okafor,Charlotte Bobcats,"Below","Medium"
0.402, 3,2004,27.4,1256999.51,2007,"Ben Gordon","Chicago Bulls",0.402, 3,2004,High,3862080,2007,Ben Gordon,Chicago Bulls,"Below","Medium"
0.622, 5,2004,24.3,2008161.24,2007,"Devin Harris","Dallas Mavericks",0.622, 5,2004,High,3153120,2007,Devin Harris,Dallas Mavericks,"Above","Medium"
0.634,43,2004,29.5,1086850.20,2007,"Trevor Ariza","Orlando Magic",0.634,43,2004,High,3100000,2007,Trevor Ariza,Orlando Magic,"Above","Medium"
0.402,38,2004,25.6,2193803.21,2007,"Chris Duhon","Chicago Bulls",0.402,38,2004,High,3024000,2007,Chris Duhon,Chicago Bulls,"Below","Medium"
0.451, 6,2004,26.7,1535379.96,2007,"Josh Childress","Atlanta Hawks",0.451, 6,2004,High,2863920,2007,Josh Childress,Atlanta Hawks,"Below","Medium"
0.402, 7,2004,34.3,3776706.27,2007,"Luol Deng","Chicago Bulls",0.402, 7,2004,High,2614440,2007,Luol Deng,Chicago Bulls,"Below","High"
0.488, 9,2004,32.3,4745332.60,2007,"Andre Iguodala","Philadelphia 76ers",0.488, 9,2004,High,2201640,2007,Andre Iguodala,Philadelphia 76ers,"Below","High"
0.244,12,2004,15.5, 752410.10,2007,"Robert Swift","Seattle SuperSonics",0.244,12,2004,Medium,1887600,2007,Robert Swift,Seattle SuperSonics,"Below","Low"
0.671,50,2004, 8.8, 549608.82,2007,"Vassilis Spanoulis","Houston Rockets",0.671,50,2004,Low,1800000,2007,Vassilis Spanoulis,Houston Rockets,"Above","Low"
0.805,13,2004,21.5,1047530.28,2007,"Sebastian Telfair","Boston Celtics",0.805,13,2004,Medium,1793160,2007,Sebastian Telfair,Boston Celtics,"Above","Medium"
0.500,14,2004,17.8,1703520.00,2007,"Kris Humphries","Toronto Raptors",0.500,14,2004,Medium,1703520,2007,Kris Humphries,Toronto Raptors,"Below","Medium"
0.805,15,2004,28.7,1029319.83,2007,"Al Jefferson","Boston Celtics",0.805,15,2004,High,1618320,2007,Al Jefferson,Boston Celtics,"Above","Medium"
0.671,16,2004,16.8,1587656.72,2007,"Kirk Snyder","Houston Rockets",0.671,16,2004,Medium,1537440,2007,Kirk Snyder,Houston Rockets,"Above","Medium"
0.268,40,2004,10.6, 321820.15,2007,"Justin Reed","Minnesota Timberwolves",0.268,40,2004,Low,1529873,2007,Justin Reed,Minnesota Timberwolves,"Below","Low"
0.451,17,2004,32.4,5074752.86,2007,"Josh Smith","Atlanta Hawks",0.451,17,2004,High,1460640,2007,Josh Smith,Atlanta Hawks,"Below","High"
0.183,19,2004,22.4, 985871.12,2007,"Dorell Wright","Miami Heat",0.183,19,2004,Medium,1325160,2007,Dorell Wright,Miami Heat,"Below","Medium"
0.634,20,2004,27.9,1813447.11,2007,"Jameer Nelson","Orlando Magic",0.634,20,2004,High,1272120,2007,Jameer Nelson,Orlando Magic,"Above","Medium"
0.622,21,2004, 4.7, 474818.23,2007,"Pavel Podkolzin","Dallas Mavericks",0.622,21,2004,Low,1221240,2007,Pavel Podkolzin,Dallas Mavericks,"Above","Low"
0.805,24,2004,27.4,2020865.93,2007,"Delonte West","Boston Celtics",0.805,24,2004,High,1080480,2007,Delonte West,Boston Celtics,"Above","Medium"
0.805,25,2004,22.0,1787290.51,2007,"Tony Allen","Boston Celtics",0.805,25,2004,Medium,1037280,2007,Tony Allen,Boston Celtics,"Above","Medium"
0.463,26,2004,30.2,1410930.09,2007,"Kevin Martin","Sacramento Kings",0.463,26,2004,High,1002840,2007,Kevin Martin,Sacramento Kings,"Below","Medium"
0.390,45,2004,14.9, 201442.08,2007,"Bernard Robinson","Charlotte Bobcats",0.390,45,2004,Medium,1000000,2007,Bernard Robinson,Charlotte Bobcats,"Below","Low"
0.683,28,2004,21.9,1465209.38,2007,"Beno Udrih","San Antonio Spurs",0.683,28,2004,Medium, 967920,2007,Beno Udrih,San Antonio Spurs,"Above","Medium"
0.439,29,2004,14.2, 559306.29,2007,"David Harrison","Indiana Pacers",0.439,29,2004,Medium, 960840,2007,David Harrison,Indiana Pacers,"Below","Low"
0.500,47,2004,11.6, 744551.00,2007,"Pape Sow","Toronto Raptors",0.500,47,2004,Low, 744551,2007,Pape Sow,Toronto Raptors,"Below","Low"
0.524,32,2004, 3.3, 280567.80,2007,"Peter John Ramos","Washington Wizards",0.524,32,2004,Low, 744551,2007,Peter John Ramos,Washington Wizards,"Above","Low"
0.451,37,2004,12.5,  31903.99,2007,"Royal Ivey","Atlanta Hawks",0.451,37,2004,Medium, 744551,2007,Royal Ivey,Atlanta Hawks,"Below","Low"
0.500,10,2004, 9.9, 109493.00,2007,"Luke Jackson","Toronto Raptors",0.500,10,2004,Low, 109493,2007,Luke Jackson,Toronto Raptors,"Below","Low"
0.415, 1,2005,28.1,1665087.67,2008,"Andrew Bogut","Milwaukee Bucks",0.415, 1,2005,High,4991520,2008,Andrew Bogut,Milwaukee Bucks,"Below","Medium"
